Event_ID,Event_Name,Video_File,Date_Time,Detected_Student_Count,Duration,Activity_Type,Motion_Level,Face_Detection_Status,Engagement_Score
E023,Event_2,/videos/event23.mp4,26-04-2024 00:00,37,31,Game,Low,Successful,0.05
E024,Event_6,/videos/event24.mp4,15-07-2024 00:00,14,121,Game,High,Failed,0.74
E025,Event_7,/videos/event25.mp4,24-04-2024 00:00,25,157,Performance,High,Partial,0.27
E026,Event_2,/videos/event26.mp4,19-10-2024 00:00,28,91,Seminar,High,Successful,0.18
E027,Event_9,/videos/event27.mp4,24-01-2024 00:00,30,65,Performance,Medium,Partial,0.33
E028,Event_9,/videos/event28.mp4,21-08-2024 00:00,5,218,Game,Medium,Failed,0.78
E029,Event_10,/videos/event29.mp4,04-05-2024 00:00,34,218,Seminar,Medium,Successful,0.73
E030,Event_9,/videos/event30.mp4,05-05-2024 00:00,14,33,Performance,Low,Successful,0.54
E031,Event_1,/videos/event31.mp4,20-06-2024 00:00,5,222,Seminar,High,Partial,0.1
E032,Event_9,/videos/event32.mp4,01-05-2024 00:00,31,281,Game,Low,Failed,0.28
E033,Event_1,/videos/event33.mp4,28-04-2024 00:00,38,241,Seminar,Medium,Partial,0.97
E034,Event_2,/videos/event34.mp4,24-10-2024 00:00,11,288,Game,High,Partial,0.07
E035,Event_10,/videos/event35.mp4,01-02-2024 00:00,32,96,Game,Medium,Partial,0.85
E036,Event_7,/videos/event36.mp4,24-12-2024 00:00,25,192,Performance,Medium,Successful,0.07
E037,Event_4,/videos/event37.mp4,10-03-2024 00:00,42,85,Game,Low,Successful,0.45
E038,Event_6,/videos/event38.mp4,27-07-2024 00:00,12,213,Game,Medium,Partial,0.46
E039,Event_2,/videos/event39.mp4,16-02-2024 00:00,15,185,Seminar,High,Failed,0.04
E040,Event_6,/videos/event40.mp4,16-03-2024 00:00,10,157,Performance,Medium,Failed,0.05
E041,Event_5,/videos/event41.mp4,13-05-2024 00:00,16,45,Performance,Medium,Failed,0.75
E042,Event_4,/videos/event42.mp4,18-02-2024 00:00,34,82,Game,Low,Successful,0.06
E043,Event_4,/videos/event43.mp4,07-03-2024 00:00,17,235,Performance,High,Failed,0.94
E044,Event_2,/videos/event44.mp4,25-10-2024 00:00,42,162,Game,Low,Successful,0.2
E045,Event_8,/videos/event45.mp4,06-03-2024 00:00,10,199,Game,Low,Partial,0.05
E046,Event_10,/videos/event46.mp4,09-08-2024 00:00,30,284,Game,Medium,Failed,0.43
E047,Event_6,/videos/event47.mp4,19-04-2024 00:00,16,170,Performance,Medium,Successful,0.03
E048,Event_10,/videos/event48.mp4,11-11-2024 00:00,20,181,Performance,Medium,Failed,0.48
E049,Event_2,/videos/event49.mp4,23-05-2024 00:00,29,100,Performance,Low,Failed,0.88
E050,Event_9,/videos/event50.mp4,07-05-2024 00:00,45,39,Performance,High,Partial,0.48
E051,Event_8,/videos/event51.mp4,25-06-2024 00:00,41,287,Performance,Medium,Partial,0.18
E052,Event_6,/videos/event52.mp4,01-11-2024 00:00,19,45,Performance,Low,Partial,0.53
E053,Event_10,/videos/event53.mp4,29-04-2024 00:00,15,81,Game,High,Successful,0.27
E054,Event_1,/videos/event54.mp4,22-04-2024 00:00,41,228,Performance,Low,Successful,0.24
E055,Event_6,/videos/event55.mp4,23-12-2024 00:00,27,44,Seminar,High,Partial,0.95
E056,Event_10,/videos/event56.mp4,13-03-2024 00:00,41,126,Performance,High,Partial,0.18
E057,Event_1,/videos/event57.mp4,16-02-2024 00:00,8,149,Seminar,Low,Successful,0.53
E058,Event_1,/videos/event58.mp4,18-06-2024 00:00,44,133,Game,Medium,Failed,0.18
E059,Event_6,/videos/event59.mp4,31-01-2024 00:00,6,105,Seminar,High,Successful,0.77
E060,Event_9,/videos/event60.mp4,05-07-2024 00:00,9,221,Seminar,High,Partial,0.59
E061,Event_6,/videos/event61.mp4,03-06-2024 00:00,25,99,Game,High,Partial,0.79
E062,Event_8,/videos/event62.mp4,28-11-2024 00:00,25,119,Seminar,High,Failed,0.89
E063,Event_10,/videos/event63.mp4,01-07-2024 00:00,19,119,Performance,Medium,Failed,0.69
E064,Event_3,/videos/event64.mp4,31-03-2024 00:00,5,230,Seminar,Low,Successful,0.6
E065,Event_10,/videos/event65.mp4,23-04-2024 00:00,45,83,Performance,Low,Partial,0.75
E066,Event_4,/videos/event66.mp4,26-06-2024 00:00,25,115,Seminar,Low,Failed,0.67
E067,Event_6,/videos/event67.mp4,16-08-2024 00:00,5,165,Game,Low,Failed,0.07
E068,Event_5,/videos/event68.mp4,25-02-2024 00:00,5,54,Performance,Medium,Failed,0.42
E069,Event_3,/videos/event69.mp4,30-07-2024 00:00,36,223,Performance,High,Partial,0.1
E070,Event_8,/videos/event70.mp4,22-10-2024 00:00,46,145,Game,Medium,Successful,0.8
E071,Event_1,/videos/event71.mp4,30-05-2024 00:00,6,193,Performance,Low,Successful,0.34
E072,Event_7,/videos/event72.mp4,23-03-2024 00:00,9,77,Performance,High,Failed,0.89
E073,Event_1,/videos/event73.mp4,08-08-2024 00:00,46,114,Seminar,Medium,Successful,0.05
E074,Event_6,/videos/event74.mp4,15-04-2024 00:00,17,239,Seminar,High,Failed,0.93
E075,Event_9,/videos/event75.mp4,15-05-2024 00:00,47,174,Performance,Low,Successful,0.05
E076,Event_10,/videos/event76.mp4,08-10-2024 00:00,36,108,Game,Medium,Successful,0.43
E077,Event_5,/videos/event77.mp4,04-12-2024 00:00,45,275,Game,Low,Successful,0.21
E078,Event_5,/videos/event78.mp4,11-02-2024 00:00,35,89,Performance,Medium,Partial,0.49
E079,Event_5,/videos/event79.mp4,16-02-2024 00:00,46,228,Game,Medium,Partial,0.37
E080,Event_8,/videos/event80.mp4,23-01-2024 00:00,21,255,Performance,Medium,Successful,0.84
E081,Event_10,/videos/event81.mp4,01-02-2024 00:00,14,79,Game,High,Partial,0.81
E082,Event_7,/videos/event82.mp4,28-10-2024 00:00,19,61,Performance,High,Partial,0.97
E083,Event_8,/videos/event83.mp4,20-10-2024 00:00,20,273,Performance,Low,Partial,0.9
E084,Event_1,/videos/event84.mp4,14-09-2024 00:00,41,294,Seminar,High,Failed,0.15
E085,Event_8,/videos/event85.mp4,29-03-2024 00:00,15,138,Game,Low,Successful,0.42
E086,Event_7,/videos/event86.mp4,13-04-2024 00:00,45,105,Seminar,Medium,Partial,0.91
E087,Event_2,/videos/event87.mp4,14-02-2024 00:00,29,233,Seminar,Medium,Partial,0.52
E088,Event_1,/videos/event88.mp4,24-12-2024 00:00,44,297,Performance,Low,Partial,0.15
E089,Event_10,/videos/event89.mp4,28-10-2024 00:00,42,81,Game,High,Successful,0.79
E090,Event_9,/videos/event90.mp4,25-06-2024 00:00,31,165,Performance,High,Partial,0.57
E091,Event_8,/videos/event91.mp4,20-01-2024 00:00,16,171,Performance,Low,Failed,0.61
E092,Event_7,/videos/event92.mp4,20-01-2024 00:00,30,199,Seminar,Low,Successful,0.75
E093,Event_5,/videos/event93.mp4,09-07-2024 00:00,6,202,Performance,Medium,Partial,0.84
E094,Event_2,/videos/event94.mp4,26-04-2024 00:00,13,183,Seminar,Medium,Partial,0.27
E095,Event_7,/videos/event95.mp4,05-11-2024 00:00,46,75,Game,Medium,Successful,0.91
E096,Event_7,/videos/event96.mp4,05-09-2024 00:00,38,221,Game,High,Successful,0.07
E097,Event_9,/videos/event97.mp4,25-07-2024 00:00,13,298,Seminar,Low,Successful,0.19
E098,Event_4,/videos/event98.mp4,30-01-2024 00:00,20,46,Performance,Low,Partial,0.7
E099,Event_5,/videos/event99.mp4,07-07-2024 00:00,34,288,Performance,High,Successful,0.68
E100,Event_4,/videos/event100.mp4,09-07-2024 00:00,36,258,Game,Medium,Failed,0.55
