Review_ID,Student_ID,Review_Text,Timestamp,Sentiment_Label,Sentiment_Score,Aspect_Tagged,Length_of_Review
R042,Student004,This is a review about Food,2024-04-14 00:00:00,Neutral,0.89,Food,21
R043,Student019,This is a review about WiFi,2024-03-02 00:00:00,Positive,-0.01,WiFi,16
R044,Student009,This is a review about WiFi,2024-09-29 00:00:00,Negative,-0.54,Cleanliness,47
R045,Student023,This is a review about Food,2024-07-22 00:00:00,Negative,-0.92,Food,34
R046,Student005,This is a review about WiFi,2024-10-21 00:00:00,Neutral,0.15,Cleanliness,45
R047,Student027,This is a review about WiFi,2024-02-28 00:00:00,Neutral,-0.96,WiFi,15
R048,Student040,This is a review about WiFi,2024-12-19 00:00:00,Neutral,-0.82,Food,20
R049,Student028,This is a review about Cleanliness,2024-07-24 00:00:00,Negative,-0.84,WiFi,26
R050,Student015,This is a review about WiFi,2024-03-27 00:00:00,Positive,0.02,Food,38
R051,Student033,This is a review about Food,2024-06-27 00:00:00,Neutral,0.45,Cleanliness,14
R052,Student016,This is a review about Food,2024-03-15 00:00:00,Neutral,-0.61,Cleanliness,14
R053,Student049,This is a review about Cleanliness,2024-02-08 00:00:00,Positive,0.9,Cleanliness,36
R054,Student030,This is a review about Cleanliness,2024-10-23 00:00:00,Neutral,0.36,Cleanliness,46
R055,Student041,This is a review about Cleanliness,2024-06-14 00:00:00,Negative,-0.37,WiFi,9
R056,Student031,This is a review about WiFi,2024-11-19 00:00:00,Neutral,0.59,Cleanliness,8
R057,Student023,This is a review about Cleanliness,2024-02-07 00:00:00,Neutral,-0.08,Food,8
R058,Student024,This is a review about WiFi,2024-02-09 00:00:00,Negative,0.73,Food,44
R059,Student039,This is a review about Cleanliness,2024-07-15 00:00:00,Neutral,0.16,Cleanliness,7
R060,Student029,This is a review about Cleanliness,2024-11-29 00:00:00,Positive,-0.36,WiFi,37
R061,Student010,This is a review about Food,2024-08-18 00:00:00,Positive,0.62,WiFi,50
R062,Student006,This is a review about Cleanliness,2024-11-26 00:00:00,Positive,-0.92,Cleanliness,33
R063,Student029,This is a review about Cleanliness,2024-09-24 00:00:00,Negative,-0.68,WiFi,23
R064,Student025,This is a review about WiFi,2024-06-22 00:00:00,Negative,0.2,Cleanliness,46
R065,Student022,This is a review about Food,2024-06-17 00:00:00,Positive,0.12,WiFi,23
R066,Student017,This is a review about Cleanliness,2024-12-02 00:00:00,Negative,0.75,WiFi,10
R067,Student038,This is a review about Cleanliness,2024-03-13 00:00:00,Neutral,-0.38,Cleanliness,49
R068,Student043,This is a review about WiFi,2024-03-07 00:00:00,Negative,0.42,Food,24
R069,Student036,This is a review about WiFi,2024-11-25 00:00:00,Neutral,0.63,Cleanliness,49
R070,Student048,This is a review about Cleanliness,2024-09-26 00:00:00,Positive,0.29,WiFi,37
R071,Student024,This is a review about Food,2024-07-04 00:00:00,Neutral,-0.64,Food,26
R072,Student050,This is a review about WiFi,2024-04-08 00:00:00,Positive,1.0,Food,9
R073,Student019,This is a review about Food,2024-09-16 00:00:00,Negative,0.67,Cleanliness,7
R074,Student043,This is a review about WiFi,2024-11-12 00:00:00,Positive,0.19,Food,15
R075,Student012,This is a review about Cleanliness,2024-11-15 00:00:00,Positive,0.44,Food,31
R076,Student024,This is a review about Cleanliness,2024-05-01 00:00:00,Neutral,0.22,Cleanliness,33
R077,Student015,This is a review about Cleanliness,2024-05-02 00:00:00,Neutral,0.93,WiFi,17
R078,Student024,This is a review about Cleanliness,2024-10-19 00:00:00,Neutral,-0.08,WiFi,29
R079,Student033,This is a review about Cleanliness,2024-08-02 00:00:00,Positive,0.63,Cleanliness,13
R080,Student017,This is a review about Food,2024-11-24 00:00:00,Neutral,0.75,Cleanliness,11
R081,Student046,This is a review about Cleanliness,2024-03-04 00:00:00,Neutral,-0.83,Food,22
R082,Student029,This is a review about Cleanliness,2024-03-16 00:00:00,Neutral,-0.82,Food,33
R083,Student023,This is a review about Food,2024-07-31 00:00:00,Positive,-0.21,WiFi,20
R084,Student025,This is a review about Food,2024-07-10 00:00:00,Positive,-0.94,Food,50
R085,Student042,This is a review about WiFi,2024-03-15 00:00:00,Positive,-0.92,WiFi,49
R086,Student009,This is a review about Cleanliness,2024-08-28 00:00:00,Neutral,0.23,Food,6
R087,Student017,This is a review about Food,2024-03-17 00:00:00,Negative,0.88,Cleanliness,38
R088,Student028,This is a review about Food,2024-05-27 00:00:00,Positive,-0.4,Food,20
R089,Student027,This is a review about Cleanliness,2024-11-14 00:00:00,Neutral,-0.87,WiFi,43
R090,Student035,This is a review about Food,2024-11-19 00:00:00,Negative,0.15,Cleanliness,14
R091,Student019,This is a review about WiFi,2024-01-01 00:00:00,Negative,-0.29,Cleanliness,31
R092,Student012,This is a review about Cleanliness,2024-12-08 00:00:00,Positive,0.05,WiFi,9
R093,Student034,This is a review about Cleanliness,2024-09-16 00:00:00,Negative,0.11,WiFi,35
R094,Student003,This is a review about Cleanliness,2024-07-17 00:00:00,Neutral,-0.49,Food,27
R095,Student005,This is a review about WiFi,2024-05-03 00:00:00,Negative,0.31,Food,42
R096,Student048,This is a review about WiFi,2024-03-09 00:00:00,Positive,-0.3,WiFi,46
R097,Student012,This is a review about Cleanliness,2024-08-25 00:00:00,Negative,-0.04,Food,13
R098,Student005,This is a review about Cleanliness,2024-08-22 00:00:00,Positive,-0.41,Food,17
R099,Student003,This is a review about WiFi,2024-06-07 00:00:00,Negative,-0.2,Cleanliness,35
R100,Student017,This is a review about Food,2024-11-27 00:00:00,Positive,-0.43,Food,46
