Student_ID,Item_ID,Item_Name,Category,Quantity,Purchase_Date,Price_per_Unit,Total_Amount,Payment_Mode
Student008,I998,Notebook,Stationery,2,2024-10-24 00:00:00,50,100,Card
Student003,I211,Shampoo,Hygiene,4,2024-06-25 00:00:00,45,180,UPI
Student021,I546,Shampoo,Hygiene,5,2024-02-29 00:00:00,45,225,Card
Student037,I294,Notebook,Stationery,1,2024-12-28 00:00:00,50,50,Card
Student001,I632,Shampoo,Hygiene,2,2024-07-05 00:00:00,45,90,Card
Student005,I780,Notebook,Stationery,5,2024-06-09 00:00:00,50,250,UPI
Student008,I837,Notebook,Stationery,5,2024-06-07 00:00:00,50,250,UPI
Student027,I434,Pen,Stationery,3,2024-10-10 00:00:00,10,30,Cash
Student013,I530,Juice,Food,4,2024-12-12 00:00:00,25,100,UPI
Student012,I730,Shampoo,Hygiene,3,2024-07-26 00:00:00,45,135,UPI
Student001,I411,Notebook,Stationery,2,2024-08-08 00:00:00,50,100,UPI
Student039,I770,Notebook,Stationery,4,2024-08-14 00:00:00,50,200,Card
Student044,I318,Shampoo,Hygiene,4,2024-03-27 00:00:00,45,180,UPI
